starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape,site
11:18:09,5.13E-02,1,7000,blue,OG
11:19:13,0.5846571,2,7000,blue,Ferris
11:20:28,9.71E-02,3,7000,blue,OG
11:21:44,0.6493637,4,7000,blue,OG
11:23:07,1.50685,5,7000,blue,OG
11:24:33,0.1711379,6,7000,blue,Ferris
11:25:43,0.0969438,7,7000,blue,OG
11:26:49,0.4973764,8,7000,blue,Ferris
11:28:06,7.76E-02,9,7000,blue,Ferris
11:29:08,7.17E-02,10,7000,blue,OG
11:30:28,0.4681298,11,7000,blue,Ferris
11:31:44,0.1364153,12,7000,blue,Ferris
11:33:05,0.1132746,13,7000,blue,OG
11:34:06,0.8557236,14,7000,blue,OG
11:35:18,0.1505074,15,7000,blue,Ferris
11:36:26,5.99E-02,16,7000,blue,OG
11:37:27,0.12034,17,7000,blue,Ferris
11:38:28,8.03E-02,18,7000,blue,OG
11:39:28,0.7018011,19,7000,blue,Ferris
11:40:42,0.9237251,20,7000,blue,OG
11:41:59,0.7759772,21,7000,blue,OG
11:43:11,0.1450272,22,7000,blue,Ferris
11:44:16,0.7381048,23,7000,blue,OG
11:45:28,0.1215401,24,7000,blue,Ferris
11:46:30,7.75E-02,25,7000,blue,OG
11:47:34,8.72E-02,26,7000,blue,Ferris
11:48:36,0.1196178,27,7000,blue,OG
11:49:52,0.1753059,28,7000,blue,OG
11:51:06,0.097769,29,7000,blue,Ferris
11:52:09,0.4425027,30,7000,blue,Ferris
11:53:22,0.0720124,31,7000,blue,Ferris
11:54:36,0.9406452,32,7000,blue,OG
11:55:54,8.98E-02,33,7000,blue,OG
11:56:54,9.62E-02,34,7000,blue,Ferris
11:58:11,9.32E-02,35,7000,blue,OG
11:18:09,0.1970401,1,6262,white,OG
11:19:13,0.1333659,2,6262,white,OG
11:20:28,0.7448993,3,6262,white,OG
11:21:44,0.8528716,4,6262,white,Ferris
11:23:07,0.1378871,5,6262,white,Ferris
11:24:33,0.2489103,6,6262,white,OG
11:25:43,0.3853647,7,6262,white,OG
11:26:49,1.25784,8,6262,white,Ferris
11:28:06,0.1002569,9,6262,white,Ferris
11:29:08,1.19463,10,6262,white,Ferris
11:30:28,1.269043,11,6262,white,OG
11:31:44,1.492949,12,6262,white,OG
11:33:05,0.1491773,13,6262,white,Ferris
11:34:06,0.1464047,14,6262,white,Ferris
11:35:18,0.615582,15,6262,white,OG
11:36:26,0.2616211,16,6262,white,Ferris
11:37:27,0.2566137,17,6262,white,OG
11:38:28,0.1296766,18,6262,white,Ferris
11:39:28,0.8902243,19,6262,white,Ferris
11:40:42,0.7083347,20,6262,white,OG
11:41:59,0.1138883,21,6262,white,OG
11:43:11,0.6530359,22,6262,white,OG
11:44:16,0.1539176,23,6262,white,Ferris
11:45:28,0.1257113,24,6262,white,OG
11:46:30,0.3096526,25,6262,white,Ferris
11:47:34,0.1730384,26,6262,white,Ferris
11:48:36,0.8178748,27,6262,white,Ferris
11:49:52,1.138796,28,6262,white,OG
11:51:06,0.3096876,29,6262,white,Ferris
11:52:09,1.482758,30,6262,white,OG
11:53:22,0.9280274,31,6262,white,Ferris
11:54:36,7.11E-02,32,6262,white,OG
11:55:54,0.1274011,33,6262,white,OG
11:56:54,0.9831486,34,6262,white,Ferris
11:58:11,1.047761,35,6262,white,OG
