starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape
24:07:52,8.89E-02,51,7000,white
24:09:29,5.89E-03,52,7000,white
24:11:03,3.74E-02,53,7000,white
24:12:08,7.45E-02,54,7000,white
24:13:28,0.6751227,55,7000,white
24:14:53,0.0721636,56,7000,white
24:16:06,0.7815116,57,7000,white
24:17:28,1.69E-02,58,7000,white
24:18:36,0.1374117,59,7000,white
24:19:50,4.55E-02,60,7000,white
24:20:58,0.0533243,61,7000,white
24:22:25,9.92E-02,62,7000,white
24:23:39,8.73E-02,63,7000,white
24:24:56,0.1171796,64,7000,white
24:26:07,9.21E-03,65,7000,white
24:27:10,4.33E-02,66,7000,white
24:28:23,1.07E-02,67,7000,white
24:29:40,9.21E-02,68,7000,white
24:30:57,0.0385014,69,7000,white
24:31:55,0.0999918,70,7000,white
24:33:18,0.8596822,71,7000,white
24:34:47,0.6796167,72,7000,white
24:36:10,1.023324,73,7000,white
24:37:34,4.80E-02,74,7000,white
24:38:48,0.1075064,75,7000,white
24:40:09,5.07E-03,76,7000,white
24:07:52,0.8693286,51,6262,orange
24:09:29,1.40004,52,6262,orange
24:11:03,0.1751427,53,6262,orange
24:12:08,0.731162,54,6262,orange
24:13:28,1.251838,55,6262,orange
24:14:53,0.2397282,56,6262,orange
24:16:06,8.43E-02,57,6262,orange
24:17:28,0.1130953,58,6262,orange
24:18:36,0.149467,59,6262,orange
24:19:50,0.1023289,60,6262,orange
24:20:58,1.089859,61,6262,orange
24:22:25,0.2169918,62,6262,orange
24:23:39,0.3694547,63,6262,orange
24:24:56,1.83E-02,64,6262,orange
24:26:07,0.1099208,65,6262,orange
24:27:10,7.39E-02,66,6262,orange
24:28:23,8.31E-02,67,6262,orange
24:29:40,1.325781,68,6262,orange
24:30:57,2.03E-02,69,6262,orange
24:31:55,1.130465,70,6262,orange
24:33:18,2.244369,71,6262,orange
24:34:47,0.8500674,72,6262,orange
24:36:10,2.26E-02,73,6262,orange
24:37:34,8.81E-02,74,6262,orange
24:38:48,0.7100773,75,6262,orange
24:40:09,1.85E-02,76,6262,orange
