starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape color,real_N
11:13:55,8.95E-02,1,7000,orange,1
11:15:18,0.7409114,2,7000,orange,3
11:16:40,3.59E-02,3,7000,orange,12
11:17:50,0.0529476,4,7000,orange,21
11:18:55,4.15E-02,5,7000,orange,24
11:20:21,4.84E-02,6,7000,orange,32
11:21:41,4.49E-02,7,7000,orange,38
11:22:52,4.08E-02,8,7000,orange,40
11:24:46,9.27E-03,9,7000,orange,46
11:26:07,8.19E-03,10,7000,orange,47
11:27:33,1.86E-03,11,7000,orange,
11:29:10,1.07E-03,12,7000,orange,
11:30:13,1.62E-03,13,7000,orange,
11:31:13,1.28E-03,14,7000,orange,
11:32:18,1.57E-03,15,7000,orange,
11:33:30,1.82E-03,16,7000,orange,
11:34:52,1.28E-03,17,7000,orange,
11:36:12,1.29E-03,18,7000,orange,
11:13:55,0.1794861,1,6262,white,4
11:15:18,0.1077224,2,6262,white,5
11:16:40,0.1003353,3,6262,white,6
11:17:50,0.1429656,4,6262,white,12
11:18:55,7.82E-02,5,6262,white,13
11:20:21,0.1196829,6,6262,white,14
11:21:41,0.1625481,7,6262,white,15
11:22:52,0.0667244,8,6262,white,17
11:24:46,0.8774412,9,6262,white,19
11:26:07,0.0754184,10,6262,white,21
11:27:33,0.9437516,11,6262,white,24
11:29:10,9.04E-02,12,6262,white,27
11:30:13,9.56E-02,13,6262,white,35
11:31:13,0.1207859,14,6262,white,36
11:32:18,6.78E-02,15,6262,white,39
11:33:30,0.8019896,16,6262,white,44
11:34:52,0.0165749,17,6262,white,46
11:36:12,1.38E-02,18,6262,white,47
