starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tape_color
8:14:02,5.29E-02,51,7000,white
8:15:02,8.37E-02,52,7000,white
8:16:15,8.30E-02,53,7000,white
8:17:41,2.94E-02,54,7000,white
8:18:49,4.30E-02,55,7000,white
8:20:17,4.35E-02,56,7000,white
8:21:29,6.92E-02,57,7000,white
8:22:35,7.51E-03,58,7000,white
8:23:56,7.02E-02,59,7000,white
8:25:13,8.27E-02,60,7000,white
8:26:21,4.56E-02,61,7000,white
8:27:26,4.67E-02,62,7000,white
8:28:33,3.51E-02,63,7000,white
8:29:43,5.36E-02,64,7000,white
8:30:53,2.96E-02,65,7000,white
8:32:14,3.95E-02,66,7000,white
8:33:43,6.59E-02,67,7000,white
8:34:51,6.21E-02,68,7000,white
8:36:05,3.16E-02,69,7000,white
8:37:34,0.0388701,70,7000,white
8:38:46,8.25E-02,71,7000,white
8:39:59,6.57E-02,72,7000,white
8:41:07,0.6950127,73,7000,white
8:42:26,3.49E-02,74,7000,white
8:43:42,6.95E-02,75,7000,white
8:44:49,5.99E-03,76,7000,white
8:45:42,3.83E-03,77,7000,white
8:14:02,1.79E-03,51,6262,orange
8:15:02,6.86E-02,52,6262,orange
8:16:15,1.648911,53,6262,orange
8:17:41,8.96E-02,54,6262,orange
8:18:49,1.410742,55,6262,orange
8:20:17,8.24E-02,56,6262,orange
8:21:29,8.07E-02,57,6262,orange
8:22:35,7.38E-02,58,6262,orange
8:23:56,0.0573142,59,6262,orange
8:25:13,0.1105524,60,6262,orange
8:26:21,4.65E-02,61,6262,orange
8:27:26,7.23E-02,62,6262,orange
8:28:33,0.104925,63,6262,orange
8:29:43,8.35E-02,64,6262,orange
8:30:53,1.254421,65,6262,orange
8:32:14,1.731427,66,6262,orange
8:33:43,0.0630407,67,6262,orange
8:34:51,7.29E-02,68,6262,orange
8:36:05,1.279639,69,6262,orange
8:37:34,0.1392204,70,6262,orange
8:38:46,0.1030832,71,6262,orange
8:39:59,8.48E-02,72,6262,orange
8:41:07,7.34E-02,73,6262,orange
8:42:26,0.1135941,74,6262,orange
8:43:42,9.70E-02,75,6262,orange
8:44:49,1.24E-02,76,6262,orange
8:45:42,1.53E-02,77,6262,orange
