starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,tapecolor
11:12:13,0.7605273,51,7000,orange
11:13:38,0.6178675,52,7000,orange
11:15:00,6.32E-02,53,7000,orange
11:16:26,3.45E-02,54,7000,orange
11:18:02,5.14E-02,55,7000,orange
11:19:27,5.45E-02,56,7000,orange
11:20:59,0.6644332,57,7000,orange
11:22:34,0.7726374,58,7000,orange
11:24:12,5.05E-02,59,7000,orange
11:25:43,3.72E-02,60,7000,orange
11:27:40,9.42E-02,61,7000,orange
11:28:59,1.84E-02,62,7000,orange
11:30:23,4.36E-02,63,7000,orange
11:31:56,5.41E-02,64,7000,orange
11:33:19,0.4708574,65,7000,orange
11:34:47,4.03E-02,66,7000,orange
11:36:06,5.12E-02,67,7000,orange
11:37:29,2.75E-02,68,7000,orange
11:38:34,6.17E-02,69,7000,orange
11:39:46,2.14E-02,70,7000,orange
11:40:57,3.69E-02,71,7000,orange
11:42:19,0.0605121,72,7000,orange
11:43:26,0.6600525,73,7000,orange
11:44:46,5.40E-02,74,7000,orange
11:45:54,3.73E-02,75,7000,orange
11:46:55,3.51E-03,76,7000,orange
11:47:58,4.52E-03,77,7000,orange
11:12:13,4.97E-02,51,6262,red
11:13:38,4.91E-02,52,6262,red
11:15:00,0.1204422,53,6262,red
11:16:26,1.718233,54,6262,red
11:18:02,0.1738853,55,6262,red
11:19:27,1.136148,56,6262,red
11:20:59,0.056284,57,6262,red
11:22:34,4.41E-02,58,6262,red
11:24:12,1.522171,59,6262,red
11:25:43,0.0792801,60,6262,red
11:27:40,5.56E-02,61,6262,red
11:28:59,8.90E-02,62,6262,red
11:30:23,7.88E-02,63,6262,red
11:31:56,4.20E-02,64,6262,red
11:33:19,0.1193486,65,6262,red
11:34:47,8.92E-02,66,6262,red
11:36:06,1.078149,67,6262,red
11:37:29,5.56E-02,68,6262,red
11:38:34,2.23E-02,69,6262,red
11:39:46,5.47E-02,70,6262,red
11:40:57,1.357698,71,6262,red
11:42:19,4.73E-02,72,6262,red
11:43:26,6.39E-02,73,6262,red
11:44:46,5.80E-02,74,6262,red
11:45:54,3.64E-02,75,6262,red
11:46:55,1.26E-02,76,6262,red
11:47:58,1.02E-02,77,6262,red
